date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:33	2881/2881	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon3.svg	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/icons/icon3.svg	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:33	235231/235231	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/background/bg-dark.jpg	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/background/bg-dark.jpg	(from https://bostamihtml.ibthemespro.com/css/tailwind.css)
12:01:33	10153/10153	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon4.svg	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/icons/icon4.svg	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:34	1679/1679	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/icons/icon5.svg	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/icons/icon5.svg	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:34	5041/5041	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand.png	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/slider/brand.png	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:35	4420/4420	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand1.png	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/slider/brand1.png	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:35	3923/3923	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand2.png	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/slider/brand2.png	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:35	3836/3836	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand3.png	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/slider/brand3.png	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:35	4993/4993	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/slider/brand4.png	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/slider/brand4.png	(from https://bostamihtml.ibthemespro.com/aboutTwo.html)
12:01:35	186186/186186	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jul%202022%2010:38:58%20GMT	https://bostamihtml.ibthemespro.com/images/preview/hometwolight.png	C:/Mes%20Sites%20Web/Impact/bostamihtml.ibthemespro.com/images/preview/hometwolight.png	(from https://bostamihtml.ibthemespro.com/)
